route_id,step_id,smiles,meta
39,4,[CH2:42]([CH3:43])[O:41][P:40]([O:44][CH2:45][CH3:46])([Cl:49])=[O:47].[c:1]1[c:2][c:3][c:4][c:5][c:6]1[CH2:7][O:8][c:9]2[c:14][c:13][c:12][c:11][c:10]2[CH:15]=[CH:16][S:17](=[O:18])(=[O:19])[CH2:20][S:21](=[O:22])(=[O:23])[CH3:24]>>[CH2:42]([O:41][P:40]([O:44][CH2:45][CH3:46])([CH2:24][S:21](=[O:22])(=[O:23])[CH2:20][S:17](=[O:18])(=[O:19])[CH:16]=[CH:15][c:10]1[c:9]([O:8][CH2:7][c:6]2[c:1][c:2][c:3][c:4][c:5]2)[c:14][c:13][c:12][c:11]1)=[O:47])[CH3:43].[ClH:49],
39,5,[CH2:42]([O:41][P:40]([O:44][CH2:45][CH3:46])([CH2:24][S:21](=[O:22])(=[O:23])[CH2:20][S:17](=[O:18])(=[O:19])[CH:16]=[CH:15][c:10]1[c:9]([O:8][CH2:7][c:6]2[cH:1][cH:2][cH:3][cH:4][cH:5]2)[cH:14][cH:13][cH:12][cH:11]1)=[O:47])[CH3:43].[cH:35]1[cH:36][cH:37][cH:38][cH:39][c:34]1[CH2:33][O:32][c:31]2[c:26]([CH:25]=[O:48])[cH:27][cH:28][cH:29][cH:30]2>>[cH:1]1[cH:2][cH:3][cH:4][cH:5][c:6]1[CH2:7][O:8][c:9]2[c:10]([cH:11][cH:12][cH:13][cH:14]2)[CH:15]=[CH:16][S:17](=[O:18])(=[O:19])[CH2:20][S:21](=[O:22])(=[O:23])[CH:24]=[CH:25][c:26]3[cH:27][cH:28][cH:29][cH:30][c:31]3[O:32][CH2:33][c:34]4[cH:35][cH:36][cH:37][cH:38][cH:39]4,
43,0,[CH2:20]([S:17][CH3:16])[S:21](=[O:22])[CH3:24].[O-:72][S:71]([O-:70])=[O:19].[c:73]1[c:74]([c:75][c:76]([c:77][c:78]1)[Cl:79])[C:80]([O:81][OH:82])=[O:18]>>[O-:72][S:71][O-:70].[O:18]=[S:17](=[O:19])([CH2:20][S:21](=[O:22])[CH3:24])[CH3:16].[c:73]1[c:74]([CH2:80][O:81][OH:82])[c:75][c:76]([c:77][c:78]1)[Cl:79],
43,1,[O:18]=[S:17](=[O:19])([CH2:20][S:21](=[O:22])[CH3:24])[CH3:16].[c:60]1[c:61]([c:62][c:63]([c:64][c:65]1)[Cl:66])[C:67]([O:68][OH:69])=[O:23]>>[O:18]=[S:17](=[O:19])([CH3:16])[CH2:20][S:21](=[O:22])(=[O:23])[CH3:24].[c:60]1[c:61]([CH2:67][O:68][OH:69])[c:62][c:63]([c:64][c:65]1)[Cl:66],
43,2,[CH2:52]([CH3:53])[O:51][P:50]([O:54][CH2:55][CH3:56])([Cl:59])=[O:57].[O:18]=[S:17](=[O:19])([CH3:16])[CH2:20][S:21](=[O:22])(=[O:23])[CH3:24]>>[CH3:53][CH2:52][O:51][P:50]([O:54][CH2:55][CH3:56])([CH2:16][S:17](=[O:18])(=[O:19])[CH2:20][S:21](=[O:22])(=[O:23])[CH3:24])=[O:57].[ClH:59],
43,3,[CH3:53][CH2:52][O:51][P:50]([O:54][CH2:55][CH3:56])([CH2:16][S:17](=[O:18])(=[O:19])[CH2:20][S:21](=[O:22])(=[O:23])[CH3:24])=[O:57].[c:1]1[c:2][c:3][c:4][c:5][c:6]1[CH2:7][O:8][c:9]2[c:10]([CH:15]=[O:58])[c:11][c:12][c:13][c:14]2>>[CH3:53][CH2:52][O:51][PH:50]([O:54][CH2:55][CH3:56])=[O:57].[OH2:58].[c:1]1[c:2][c:3][c:4][c:5][c:6]1[CH2:7][O:8][c:9]2[c:14][c:13][c:12][c:11][c:10]2[CH:15]=[CH:16][S:17](=[O:18])(=[O:19])[CH2:20][S:21](=[O:22])(=[O:23])[CH3:24],
43,4,[CH2:42]([CH3:43])[O:41][P:40]([O:44][CH2:45][CH3:46])([Cl:49])=[O:47].[c:1]1[c:2][c:3][c:4][c:5][c:6]1[CH2:7][O:8][c:9]2[c:14][c:13][c:12][c:11][c:10]2[CH:15]=[CH:16][S:17](=[O:18])(=[O:19])[CH2:20][S:21](=[O:22])(=[O:23])[CH3:24]>>[CH2:42]([O:41][P:40]([O:44][CH2:45][CH3:46])([CH2:24][S:21](=[O:22])(=[O:23])[CH2:20][S:17](=[O:18])(=[O:19])[CH:16]=[CH:15][c:10]1[c:9]([O:8][CH2:7][c:6]2[c:1][c:2][c:3][c:4][c:5]2)[c:14][c:13][c:12][c:11]1)=[O:47])[CH3:43].[ClH:49],
43,5,[CH2:42]([O:41][P:40]([O:44][CH2:45][CH3:46])([CH2:24][S:21](=[O:22])(=[O:23])[CH2:20][S:17](=[O:18])(=[O:19])[CH:16]=[CH:15][c:10]1[c:9]([O:8][CH2:7][c:6]2[cH:1][cH:2][cH:3][cH:4][cH:5]2)[cH:14][cH:13][cH:12][cH:11]1)=[O:47])[CH3:43].[cH:35]1[cH:36][cH:37][cH:38][cH:39][c:34]1[CH2:33][O:32][c:31]2[c:26]([CH:25]=[O:48])[cH:27][cH:28][cH:29][cH:30]2>>[cH:1]1[cH:2][cH:3][cH:4][cH:5][c:6]1[CH2:7][O:8][c:9]2[c:10]([cH:11][cH:12][cH:13][cH:14]2)[CH:15]=[CH:16][S:17](=[O:18])(=[O:19])[CH2:20][S:21](=[O:22])(=[O:23])[CH:24]=[CH:25][c:26]3[cH:27][cH:28][cH:29][cH:30][c:31]3[O:32][CH2:33][c:34]4[cH:35][cH:36][cH:37][cH:38][cH:39]4,
44,0,[CH2:20]([S:17][CH3:16])[S:21](=[O:22])[CH3:24].[O-:70][S:71]([O-:72])(=[O:19])=[S:73].[c:74]1[c:75]([c:76][c:77]([c:78][c:79]1)[Cl:80])[C:81]([O:82][OH:18])=[O:83]>>[O-:72][S:71]([O-:70])=[S:73].[O:18]=[S:17](=[O:19])([CH2:20][S:21](=[O:22])[CH3:24])[CH3:16].[c:74]1[c:75]([c:76][c:77]([c:78][c:79]1)[Cl:80])[C:81](=[O:83])[OH:82],
44,1,[O:18]=[S:17](=[O:19])([CH2:20][S:21](=[O:22])[CH3:24])[CH3:16].[c:60]1[c:61]([c:62][c:63]([c:64][c:65]1)[Cl:66])[C:67]([O:68][OH:69])=[O:23]>>[O:18]=[S:17](=[O:19])([CH3:16])[CH2:20][S:21](=[O:22])(=[O:23])[CH3:24].[c:60]1[c:61]([CH2:67][O:68][OH:69])[c:62][c:63]([c:64][c:65]1)[Cl:66],
44,2,[CH2:52]([CH3:53])[O:51][P:50]([O:54][CH2:55][CH3:56])([Cl:59])=[O:57].[O:18]=[S:17](=[O:19])([CH3:16])[CH2:20][S:21](=[O:22])(=[O:23])[CH3:24]>>[CH3:53][CH2:52][O:51][P:50]([O:54][CH2:55][CH3:56])([CH2:16][S:17](=[O:18])(=[O:19])[CH2:20][S:21](=[O:22])(=[O:23])[CH3:24])=[O:57].[ClH:59],
44,3,[CH3:53][CH2:52][O:51][P:50]([O:54][CH2:55][CH3:56])([CH2:16][S:17](=[O:18])(=[O:19])[CH2:20][S:21](=[O:22])(=[O:23])[CH3:24])=[O:57].[c:1]1[c:2][c:3][c:4][c:5][c:6]1[CH2:7][O:8][c:9]2[c:10]([CH:15]=[O:58])[c:11][c:12][c:13][c:14]2>>[CH3:53][CH2:52][O:51][PH:50]([O:54][CH2:55][CH3:56])=[O:57].[OH2:58].[c:1]1[c:2][c:3][c:4][c:5][c:6]1[CH2:7][O:8][c:9]2[c:14][c:13][c:12][c:11][c:10]2[CH:15]=[CH:16][S:17](=[O:18])(=[O:19])[CH2:20][S:21](=[O:22])(=[O:23])[CH3:24],
44,4,[CH2:42]([CH3:43])[O:41][P:40]([O:44][CH2:45][CH3:46])([Cl:49])=[O:47].[c:1]1[c:2][c:3][c:4][c:5][c:6]1[CH2:7][O:8][c:9]2[c:14][c:13][c:12][c:11][c:10]2[CH:15]=[CH:16][S:17](=[O:18])(=[O:19])[CH2:20][S:21](=[O:22])(=[O:23])[CH3:24]>>[CH2:42]([O:41][P:40]([O:44][CH2:45][CH3:46])([CH2:24][S:21](=[O:22])(=[O:23])[CH2:20][S:17](=[O:18])(=[O:19])[CH:16]=[CH:15][c:10]1[c:9]([O:8][CH2:7][c:6]2[c:1][c:2][c:3][c:4][c:5]2)[c:14][c:13][c:12][c:11]1)=[O:47])[CH3:43].[ClH:49],
44,5,[CH2:42]([O:41][P:40]([O:44][CH2:45][CH3:46])([CH2:24][S:21](=[O:22])(=[O:23])[CH2:20][S:17](=[O:18])(=[O:19])[CH:16]=[CH:15][c:10]1[c:9]([O:8][CH2:7][c:6]2[cH:1][cH:2][cH:3][cH:4][cH:5]2)[cH:14][cH:13][cH:12][cH:11]1)=[O:47])[CH3:43].[cH:35]1[cH:36][cH:37][cH:38][cH:39][c:34]1[CH2:33][O:32][c:31]2[c:26]([CH:25]=[O:48])[cH:27][cH:28][cH:29][cH:30]2>>[cH:1]1[cH:2][cH:3][cH:4][cH:5][c:6]1[CH2:7][O:8][c:9]2[c:10]([cH:11][cH:12][cH:13][cH:14]2)[CH:15]=[CH:16][S:17](=[O:18])(=[O:19])[CH2:20][S:21](=[O:22])(=[O:23])[CH:24]=[CH:25][c:26]3[cH:27][cH:28][cH:29][cH:30][c:31]3[O:32][CH2:33][c:34]4[cH:35][cH:36][cH:37][cH:38][cH:39]4,
45,0,[S:17]([CH3:16])[CH2:20][S:21][CH3:24].[S:63]([O:64][OH:18])(=[O:19])[O-:65]>>[O:18]=[S:17](=[O:19])([CH2:20][S:21][CH3:24])[CH3:16].[S:63]([OH:64])[O-:65],
45,1,[O:18]=[S:17](=[O:19])([CH2:20][S:21][CH3:24])[CH3:16].[S:60]([O:61][OH:22])(=[O:23])[O-:62]>>[O:18]=[S:17](=[O:19])([CH3:16])[CH2:20][S:21](=[O:22])(=[O:23])[CH3:24].[S:60]([OH:61])[O-:62],
45,2,[CH2:52]([CH3:53])[O:51][P:50]([O:54][CH2:55][CH3:56])([Cl:59])=[O:57].[O:18]=[S:17](=[O:19])([CH3:16])[CH2:20][S:21](=[O:22])(=[O:23])[CH3:24]>>[CH3:53][CH2:52][O:51][P:50]([O:54][CH2:55][CH3:56])([CH2:16][S:17](=[O:18])(=[O:19])[CH2:20][S:21](=[O:22])(=[O:23])[CH3:24])=[O:57].[ClH:59],
45,3,[CH3:53][CH2:52][O:51][P:50]([O:54][CH2:55][CH3:56])([CH2:16][S:17](=[O:18])(=[O:19])[CH2:20][S:21](=[O:22])(=[O:23])[CH3:24])=[O:57].[c:1]1[c:2][c:3][c:4][c:5][c:6]1[CH2:7][O:8][c:9]2[c:10]([CH:15]=[O:58])[c:11][c:12][c:13][c:14]2>>[CH3:53][CH2:52][O:51][PH:50]([O:54][CH2:55][CH3:56])=[O:57].[OH2:58].[c:1]1[c:2][c:3][c:4][c:5][c:6]1[CH2:7][O:8][c:9]2[c:14][c:13][c:12][c:11][c:10]2[CH:15]=[CH:16][S:17](=[O:18])(=[O:19])[CH2:20][S:21](=[O:22])(=[O:23])[CH3:24],
45,4,[CH2:42]([CH3:43])[O:41][P:40]([O:44][CH2:45][CH3:46])([Cl:49])=[O:47].[c:1]1[c:2][c:3][c:4][c:5][c:6]1[CH2:7][O:8][c:9]2[c:14][c:13][c:12][c:11][c:10]2[CH:15]=[CH:16][S:17](=[O:18])(=[O:19])[CH2:20][S:21](=[O:22])(=[O:23])[CH3:24]>>[CH2:42]([O:41][P:40]([O:44][CH2:45][CH3:46])([CH2:24][S:21](=[O:22])(=[O:23])[CH2:20][S:17](=[O:18])(=[O:19])[CH:16]=[CH:15][c:10]1[c:9]([O:8][CH2:7][c:6]2[c:1][c:2][c:3][c:4][c:5]2)[c:14][c:13][c:12][c:11]1)=[O:47])[CH3:43].[ClH:49],
45,5,[CH2:42]([O:41][P:40]([O:44][CH2:45][CH3:46])([CH2:24][S:21](=[O:22])(=[O:23])[CH2:20][S:17](=[O:18])(=[O:19])[CH:16]=[CH:15][c:10]1[c:9]([O:8][CH2:7][c:6]2[cH:1][cH:2][cH:3][cH:4][cH:5]2)[cH:14][cH:13][cH:12][cH:11]1)=[O:47])[CH3:43].[cH:35]1[cH:36][cH:37][cH:38][cH:39][c:34]1[CH2:33][O:32][c:31]2[c:26]([CH:25]=[O:48])[cH:27][cH:28][cH:29][cH:30]2>>[cH:1]1[cH:2][cH:3][cH:4][cH:5][c:6]1[CH2:7][O:8][c:9]2[c:10]([cH:11][cH:12][cH:13][cH:14]2)[CH:15]=[CH:16][S:17](=[O:18])(=[O:19])[CH2:20][S:21](=[O:22])(=[O:23])[CH:24]=[CH:25][c:26]3[cH:27][cH:28][cH:29][cH:30][c:31]3[O:32][CH2:33][c:34]4[cH:35][cH:36][cH:37][cH:38][cH:39]4,
46,0,[S:17]([CH3:16])[CH2:20][S:21][CH3:24].[c:63]1[c:64]([c:65][c:66]([c:67][c:68]1)[Cl:69])[C:70]([O:71][OH:19])=[O:18]>>[O:18]=[S:17](=[O:19])([CH2:20][S:21][CH3:24])[CH3:16].[OH:71][CH2:70][c:64]1[c:63][c:68][c:67][c:66]([Cl:69])[c:65]1,
46,1,[O:18]=[S:17](=[O:19])([CH2:20][S:21][CH3:24])[CH3:16].[S:60]([O:61][OH:22])(=[O:23])[O-:62]>>[O:18]=[S:17](=[O:19])([CH3:16])[CH2:20][S:21](=[O:22])(=[O:23])[CH3:24].[S:60]([OH:61])[O-:62],
46,2,[CH2:52]([CH3:53])[O:51][P:50]([O:54][CH2:55][CH3:56])([Cl:59])=[O:57].[O:18]=[S:17](=[O:19])([CH3:16])[CH2:20][S:21](=[O:22])(=[O:23])[CH3:24]>>[CH3:53][CH2:52][O:51][P:50]([O:54][CH2:55][CH3:56])([CH2:16][S:17](=[O:18])(=[O:19])[CH2:20][S:21](=[O:22])(=[O:23])[CH3:24])=[O:57].[ClH:59],
46,3,[CH3:53][CH2:52][O:51][P:50]([O:54][CH2:55][CH3:56])([CH2:16][S:17](=[O:18])(=[O:19])[CH2:20][S:21](=[O:22])(=[O:23])[CH3:24])=[O:57].[c:1]1[c:2][c:3][c:4][c:5][c:6]1[CH2:7][O:8][c:9]2[c:10]([CH:15]=[O:58])[c:11][c:12][c:13][c:14]2>>[CH3:53][CH2:52][O:51][PH:50]([O:54][CH2:55][CH3:56])=[O:57].[OH2:58].[c:1]1[c:2][c:3][c:4][c:5][c:6]1[CH2:7][O:8][c:9]2[c:14][c:13][c:12][c:11][c:10]2[CH:15]=[CH:16][S:17](=[O:18])(=[O:19])[CH2:20][S:21](=[O:22])(=[O:23])[CH3:24],
46,4,[CH2:42]([CH3:43])[O:41][P:40]([O:44][CH2:45][CH3:46])([Cl:49])=[O:47].[c:1]1[c:2][c:3][c:4][c:5][c:6]1[CH2:7][O:8][c:9]2[c:14][c:13][c:12][c:11][c:10]2[CH:15]=[CH:16][S:17](=[O:18])(=[O:19])[CH2:20][S:21](=[O:22])(=[O:23])[CH3:24]>>[CH2:42]([O:41][P:40]([O:44][CH2:45][CH3:46])([CH2:24][S:21](=[O:22])(=[O:23])[CH2:20][S:17](=[O:18])(=[O:19])[CH:16]=[CH:15][c:10]1[c:9]([O:8][CH2:7][c:6]2[c:1][c:2][c:3][c:4][c:5]2)[c:14][c:13][c:12][c:11]1)=[O:47])[CH3:43].[ClH:49],
46,5,[CH2:42]([O:41][P:40]([O:44][CH2:45][CH3:46])([CH2:24][S:21](=[O:22])(=[O:23])[CH2:20][S:17](=[O:18])(=[O:19])[CH:16]=[CH:15][c:10]1[c:9]([O:8][CH2:7][c:6]2[cH:1][cH:2][cH:3][cH:4][cH:5]2)[cH:14][cH:13][cH:12][cH:11]1)=[O:47])[CH3:43].[cH:35]1[cH:36][cH:37][cH:38][cH:39][c:34]1[CH2:33][O:32][c:31]2[c:26]([CH:25]=[O:48])[cH:27][cH:28][cH:29][cH:30]2>>[cH:1]1[cH:2][cH:3][cH:4][cH:5][c:6]1[CH2:7][O:8][c:9]2[c:10]([cH:11][cH:12][cH:13][cH:14]2)[CH:15]=[CH:16][S:17](=[O:18])(=[O:19])[CH2:20][S:21](=[O:22])(=[O:23])[CH:24]=[CH:25][c:26]3[cH:27][cH:28][cH:29][cH:30][c:31]3[O:32][CH2:33][c:34]4[cH:35][cH:36][cH:37][cH:38][cH:39]4,
47,0,[CH2:20]([S:21][CH3:24])[S:17](=[O:18])[CH3:16].[c:63]1[c:64]([c:65][c:66]([c:67][c:68]1)[Cl:69])[C:70]([O:71][OH:72])=[O:19]>>[O:18]=[S:17](=[O:19])([CH2:20][S:21][CH3:24])[CH3:16].[c:63]1[c:64]([CH2:70][O:71][OH:72])[c:65][c:66]([c:67][c:68]1)[Cl:69],
47,1,[O:18]=[S:17](=[O:19])([CH2:20][S:21][CH3:24])[CH3:16].[S:60]([O:61][OH:22])(=[O:23])[O-:62]>>[O:18]=[S:17](=[O:19])([CH3:16])[CH2:20][S:21](=[O:22])(=[O:23])[CH3:24].[S:60]([OH:61])[O-:62],
47,2,[CH2:52]([CH3:53])[O:51][P:50]([O:54][CH2:55][CH3:56])([Cl:59])=[O:57].[O:18]=[S:17](=[O:19])([CH3:16])[CH2:20][S:21](=[O:22])(=[O:23])[CH3:24]>>[CH3:53][CH2:52][O:51][P:50]([O:54][CH2:55][CH3:56])([CH2:16][S:17](=[O:18])(=[O:19])[CH2:20][S:21](=[O:22])(=[O:23])[CH3:24])=[O:57].[ClH:59],
47,3,[CH3:53][CH2:52][O:51][P:50]([O:54][CH2:55][CH3:56])([CH2:16][S:17](=[O:18])(=[O:19])[CH2:20][S:21](=[O:22])(=[O:23])[CH3:24])=[O:57].[c:1]1[c:2][c:3][c:4][c:5][c:6]1[CH2:7][O:8][c:9]2[c:10]([CH:15]=[O:58])[c:11][c:12][c:13][c:14]2>>[CH3:53][CH2:52][O:51][PH:50]([O:54][CH2:55][CH3:56])=[O:57].[OH2:58].[c:1]1[c:2][c:3][c:4][c:5][c:6]1[CH2:7][O:8][c:9]2[c:14][c:13][c:12][c:11][c:10]2[CH:15]=[CH:16][S:17](=[O:18])(=[O:19])[CH2:20][S:21](=[O:22])(=[O:23])[CH3:24],
47,4,[CH2:42]([CH3:43])[O:41][P:40]([O:44][CH2:45][CH3:46])([Cl:49])=[O:47].[c:1]1[c:2][c:3][c:4][c:5][c:6]1[CH2:7][O:8][c:9]2[c:14][c:13][c:12][c:11][c:10]2[CH:15]=[CH:16][S:17](=[O:18])(=[O:19])[CH2:20][S:21](=[O:22])(=[O:23])[CH3:24]>>[CH2:42]([O:41][P:40]([O:44][CH2:45][CH3:46])([CH2:24][S:21](=[O:22])(=[O:23])[CH2:20][S:17](=[O:18])(=[O:19])[CH:16]=[CH:15][c:10]1[c:9]([O:8][CH2:7][c:6]2[c:1][c:2][c:3][c:4][c:5]2)[c:14][c:13][c:12][c:11]1)=[O:47])[CH3:43].[ClH:49],
47,5,[CH2:42]([O:41][P:40]([O:44][CH2:45][CH3:46])([CH2:24][S:21](=[O:22])(=[O:23])[CH2:20][S:17](=[O:18])(=[O:19])[CH:16]=[CH:15][c:10]1[c:9]([O:8][CH2:7][c:6]2[cH:1][cH:2][cH:3][cH:4][cH:5]2)[cH:14][cH:13][cH:12][cH:11]1)=[O:47])[CH3:43].[cH:35]1[cH:36][cH:37][cH:38][cH:39][c:34]1[CH2:33][O:32][c:31]2[c:26]([CH:25]=[O:48])[cH:27][cH:28][cH:29][cH:30]2>>[cH:1]1[cH:2][cH:3][cH:4][cH:5][c:6]1[CH2:7][O:8][c:9]2[c:10]([cH:11][cH:12][cH:13][cH:14]2)[CH:15]=[CH:16][S:17](=[O:18])(=[O:19])[CH2:20][S:21](=[O:22])(=[O:23])[CH:24]=[CH:25][c:26]3[cH:27][cH:28][cH:29][cH:30][c:31]3[O:32][CH2:33][c:34]4[cH:35][cH:36][cH:37][cH:38][cH:39]4,
58,0,[O:18]=[S:17](=[O:19])([CH:16]=[CH2:15])[CH2:20][S:21](=[O:22])(=[O:23])[CH:24]=[CH2:25].[c:1]1[c:2][c:3][c:4][c:5][c:6]1[CH2:7][O:8][c:9]2[c:10]([Br:41])[c:11][c:12][c:13][c:14]2>>[BrH:41].[c:1]1[c:2][c:3][c:4][c:5][c:6]1[CH2:7][O:8][c:9]2[c:14][c:13][c:12][c:11][c:10]2[CH:15]=[CH:16][S:17](=[O:18])(=[O:19])[CH2:20][S:21](=[O:22])(=[O:23])[CH:24]=[CH2:25],
58,1,[cH:1]1[cH:2][cH:3][cH:4][cH:5][c:6]1[CH2:7][O:8][c:9]2[cH:14][cH:13][cH:12][cH:11][c:10]2[CH:15]=[CH:16][S:17](=[O:18])(=[O:19])[CH2:20][S:21](=[O:22])(=[O:23])[CH:24]=[CH2:25].[cH:35]1[cH:36][cH:37][cH:38][cH:39][c:34]1[CH2:33][O:32][c:31]2[c:26]([Br:40])[cH:27][cH:28][cH:29][cH:30]2>>[cH:1]1[cH:2][cH:3][cH:4][cH:5][c:6]1[CH2:7][O:8][c:9]2[c:10]([cH:11][cH:12][cH:13][cH:14]2)[CH:15]=[CH:16][S:17](=[O:18])(=[O:19])[CH2:20][S:21](=[O:22])(=[O:23])[CH:24]=[CH:25][c:26]3[cH:27][cH:28][cH:29][cH:30][c:31]3[O:32][CH2:33][c:34]4[cH:35][cH:36][cH:37][cH:38][cH:39]4,
247,0,[Cl:64][CH2:16][S:17][CH2:20][S:21][CH3:24].[S:65]([O:66][OH:22])(=[O:23])[O-:67]>>[O:22]=[S:21](=[O:23])([CH2:20][S:17][CH2:16][Cl:64])[CH3:24].[S:65]([OH:66])[O-:67],
247,1,[CH3:53][CH2:52][O:51][P:50]([O:57][CH2:62][CH3:63])[O:54][CH2:55][CH3:56].[O:22]=[S:21](=[O:23])([CH2:20][S:17][CH2:16][Cl:64])[CH3:24]>>[CH3:56][CH2:55][O:54][P:50]([O:51][CH2:52][CH3:53])(=[O:57])[CH2:16][S:17][CH2:20][S:21](=[O:22])(=[O:23])[CH3:24].[CH3:62][CH3:63].[ClH:64],
